accuracy,auc,classifier,f1,parameters,precision,recall,split,threshold
0.9266467065868264,0.7869244087930392,LR,0.7065868263473053,"{'C': 0.01, 'penalty': 'l1'}",0.8872180451127819,0.5870646766169154,1,10
0.9236526946107785,0.7810682271462073,LR,0.6946107784431138,"{'C': 0.01, 'penalty': 'l2'}",0.8721804511278195,0.5771144278606966,1,10
0.9251497005988024,0.7839963179696233,LR,0.7005988023952096,"{'C': 0.1, 'penalty': 'l1'}",0.8796992481203008,0.582089552238806,1,10
0.9281437125748503,0.7898524996164551,LR,0.7125748502994013,"{'C': 0.1, 'penalty': 'l2'}",0.8947368421052632,0.5920398009950248,1,10
0.9161676646706587,0.7664277730291276,DT,0.6646706586826348,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8345864661654135,0.5522388059701493,1,10
0.9161676646706587,0.7664277730291276,DT,0.6646706586826348,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8345864661654135,0.5522388059701493,1,10
0.8817365269461078,0.6990816840905605,DT,0.5269461077844311,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6616541353383458,0.43781094527363185,1,10
0.8832335329341318,0.7020097749139763,DT,0.5329341317365268,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.6691729323308271,0.4427860696517413,1,10
0.9146706586826348,0.7634996822057115,DT,0.6586826347305389,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8270676691729323,0.5472636815920398,1,10
0.9131736526946108,0.7605715913822956,DT,0.6526946107784432,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8195488721804511,0.5422885572139303,1,10
0.8832335329341318,0.7020097749139763,DT,0.5329341317365268,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6691729323308271,0.4427860696517413,1,10
0.8922155688622755,0.7195783198544722,DT,0.5688622754491018,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.7142857142857143,0.472636815920398,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8796992481203008,0.582089552238806,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8796992481203008,0.582089552238806,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8796992481203008,0.582089552238806,1,10
0.9236526946107785,0.7810682271462073,RF,0.6946107784431138,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8721804511278195,0.5771144278606966,1,10
0.9236526946107785,0.7810682271462073,RF,0.6946107784431138,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8721804511278195,0.5771144278606966,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8796992481203008,0.582089552238806,1,10
0.9221556886227545,0.7781401363227913,RF,0.688622754491018,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8646616541353384,0.572139303482587,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8796992481203008,0.582089552238806,1,10
0.9236526946107785,0.7810682271462073,RF,0.6946107784431138,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8721804511278195,0.5771144278606966,1,10
0.9236526946107785,0.7810682271462073,RF,0.6946107784431138,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8721804511278195,0.5771144278606966,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8796992481203008,0.582089552238806,1,10
0.9236526946107785,0.7810682271462073,RF,0.6946107784431138,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8721804511278195,0.5771144278606966,1,10
0.9221556886227545,0.7781401363227913,RF,0.688622754491018,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8646616541353384,0.572139303482587,1,10
0.9251497005988024,0.7839963179696233,RF,0.7005988023952096,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8796992481203008,0.582089552238806,1,10
0.9221556886227545,0.7781401363227913,RF,0.688622754491018,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8646616541353384,0.572139303482587,1,10
0.9236526946107785,0.7810682271462073,RF,0.6946107784431138,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8721804511278195,0.5771144278606966,1,10
0.9116766467065869,0.7578815560067652,LR,0.6488095238095238,"{'C': 0.01, 'penalty': 'l1'}",0.8195488721804511,0.5369458128078818,2,10
0.9161676646706587,0.7665946373679885,LR,0.6666666666666666,"{'C': 0.01, 'penalty': 'l2'}",0.8421052631578947,0.5517241379310345,2,10
0.9131736526946108,0.7607859164605063,LR,0.6547619047619049,"{'C': 0.1, 'penalty': 'l1'}",0.8270676691729323,0.541871921182266,2,10
0.9176646706586826,0.7694989978217296,LR,0.6726190476190476,"{'C': 0.1, 'penalty': 'l2'}",0.849624060150376,0.5566502463054187,2,10
0.905688622754491,0.7462641141918007,DT,0.625,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.7894736842105263,0.5172413793103449,2,10
0.905688622754491,0.7462641141918007,DT,0.625,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.7894736842105263,0.5172413793103449,2,10
0.8832335329341318,0.7026987073856843,DT,0.5357142857142857,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6766917293233082,0.4433497536945813,2,10
0.8922155688622755,0.7201248701081309,DT,0.5714285714285714,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.7218045112781954,0.4729064039408867,2,10
0.9101796407185628,0.7549771955530242,DT,0.6428571428571428,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8120300751879699,0.5320197044334976,2,10
0.9101796407185628,0.7549771955530242,DT,0.6428571428571428,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8120300751879699,0.5320197044334976,2,10
0.8727544910179641,0.6823681842094965,DT,0.49404761904761907,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6240601503759399,0.4088669950738916,2,10
0.8847305389221557,0.7056030678394254,DT,0.5416666666666666,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.6842105263157895,0.4482758620689655,2,10
0.9116766467065869,0.7578815560067652,RF,0.6488095238095238,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8195488721804511,0.5369458128078818,2,10
0.9131736526946108,0.7607859164605063,RF,0.6547619047619049,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8270676691729323,0.541871921182266,2,10
0.9101796407185628,0.7549771955530242,RF,0.6428571428571428,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8120300751879699,0.5320197044334976,2,10
0.9131736526946108,0.7607859164605063,RF,0.6547619047619049,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8270676691729323,0.541871921182266,2,10
0.9131736526946108,0.7607859164605063,RF,0.6547619047619049,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8270676691729323,0.541871921182266,2,10
0.9116766467065869,0.7578815560067652,RF,0.6488095238095238,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8195488721804511,0.5369458128078818,2,10
0.9146706586826348,0.7636902769142475,RF,0.6607142857142857,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8345864661654135,0.5467980295566502,2,10
0.9131736526946108,0.7607859164605063,RF,0.6547619047619049,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8270676691729323,0.541871921182266,2,10
0.907185628742515,0.7491684746455419,RF,0.6309523809523809,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.7969924812030075,0.5221674876847291,2,10
0.9101796407185628,0.7549771955530242,RF,0.6428571428571428,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8120300751879699,0.5320197044334976,2,10
0.9086826347305389,0.7520728350992832,RF,0.6369047619047619,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8045112781954887,0.5270935960591133,2,10
0.9101796407185628,0.7549771955530242,RF,0.6428571428571428,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8120300751879699,0.5320197044334976,2,10
0.9086826347305389,0.7520728350992832,RF,0.6369047619047619,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8045112781954887,0.5270935960591133,2,10
0.9101796407185628,0.7549771955530242,RF,0.6428571428571428,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8120300751879699,0.5320197044334976,2,10
0.905688622754491,0.7462641141918007,RF,0.625,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.7894736842105263,0.5172413793103449,2,10
0.9101796407185628,0.7549771955530242,RF,0.6428571428571428,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8120300751879699,0.5320197044334976,2,10
0.9041916167664671,0.7426490411600659,LR,0.6144578313253011,"{'C': 0.01, 'penalty': 'l1'}",0.7669172932330827,0.5125628140703518,3,10
0.9176646706586826,0.76921989012786,LR,0.6686746987951807,"{'C': 0.01, 'penalty': 'l2'}",0.8345864661654135,0.5577889447236181,3,10
0.9206586826347305,0.7751245232318142,LR,0.6807228915662652,"{'C': 0.1, 'penalty': 'l1'}",0.849624060150376,0.5678391959798995,3,10
0.9236526946107785,0.7810291563357685,LR,0.6927710843373494,"{'C': 0.1, 'penalty': 'l2'}",0.8646616541353384,0.5778894472361809,3,10
0.9161676646706587,0.766267573575883,DT,0.6626506024096386,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8270676691729323,0.5527638190954773,3,10
0.9146706586826348,0.7633152570239058,DT,0.6566265060240963,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8195488721804511,0.5477386934673367,3,10
0.8907185628742516,0.7160781921922719,DT,0.5602409638554217,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6992481203007519,0.46733668341708545,3,10
0.8967065868263473,0.7278874584001803,DT,0.5843373493975904,"{'criterion': 'gini', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.7293233082706767,0.48743718592964824,3,10
0.9116766467065869,0.7574106239199515,DT,0.644578313253012,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8045112781954887,0.5376884422110553,3,10
0.9116766467065869,0.7574106239199515,DT,0.644578313253012,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8045112781954887,0.5376884422110553,3,10
0.8787425149700598,0.6924596597764547,DT,0.5120481927710844,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6390977443609023,0.4271356783919598,3,10
0.8817365269461078,0.6983642928804091,DT,0.5240963855421688,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.6541353383458647,0.4371859296482412,3,10
0.9191616766467066,0.7721722066798371,RF,0.674698795180723,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8421052631578947,0.5628140703517588,3,10
0.9221556886227545,0.7780768397837914,RF,0.6867469879518072,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8571428571428571,0.5728643216080402,3,10
0.9221556886227545,0.7780768397837914,RF,0.6867469879518072,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8571428571428571,0.5728643216080402,3,10
0.9206586826347305,0.7751245232318142,RF,0.6807228915662652,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.849624060150376,0.5678391959798995,3,10
0.9236526946107785,0.7810291563357685,RF,0.6927710843373494,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8646616541353384,0.5778894472361809,3,10
0.9206586826347305,0.7751245232318142,RF,0.6807228915662652,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.849624060150376,0.5678391959798995,3,10
0.9221556886227545,0.7780768397837914,RF,0.6867469879518072,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8571428571428571,0.5728643216080402,3,10
0.9221556886227545,0.7780768397837914,RF,0.6867469879518072,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8571428571428571,0.5728643216080402,3,10
0.9131736526946108,0.7603629404719288,RF,0.6506024096385543,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8120300751879699,0.542713567839196,3,10
0.9176646706586826,0.76921989012786,RF,0.6686746987951807,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8345864661654135,0.5577889447236181,3,10
0.9176646706586826,0.76921989012786,RF,0.6686746987951807,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8345864661654135,0.5577889447236181,3,10
0.9191616766467066,0.7721722066798371,RF,0.674698795180723,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8421052631578947,0.5628140703517588,3,10
0.9221556886227545,0.7780768397837914,RF,0.6867469879518072,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8571428571428571,0.5728643216080402,3,10
0.9206586826347305,0.7751245232318142,RF,0.6807228915662652,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.849624060150376,0.5678391959798995,3,10
0.9146706586826348,0.7633152570239058,RF,0.6566265060240963,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8195488721804511,0.5477386934673367,3,10
